order,Delay,Test.Time,Participant.Private.ID,lure_word,original_response,lure_recalled
1,delay,AM,7655544,window,NA,0
2,delay,AM,7655544,sleep,NA,0
3,delay,AM,7655544,doctor,NA,0
4,delay,AM,7655544,smell,NA,0
5,delay,AM,7655544,chair,NA,0
6,delay,AM,7655544,smoke,smoke,1
7,delay,AM,7655544,sweet,NA,0
8,delay,AM,7655544,rough,NA,0
9,delay,AM,7655544,needle,NA,0
10,delay,AM,7655544,rubbish,NA,0
11,delay,AM,7655544,anger,NA,0
12,delay,AM,7655544,soft,NA,0
13,delay,AM,7655544,city,NA,0
14,delay,AM,7655544,cup,NA,0
15,delay,AM,7655544,cold,NA,0
16,delay,AM,7655544,mountain,NA,0
17,delay,AM,7655544,slow,NA,0
18,delay,AM,7655544,river,NA,0
19,delay,AM,7655544,spider,NA,0
20,delay,AM,7655544,foot,NA,0
21,delay,AM,8029276,window,window,1
22,delay,AM,8029276,sleep,sleep,1
23,delay,AM,8029276,doctor,NA,0
24,delay,AM,8029276,smell,NA,0
25,delay,AM,8029276,chair,chair,1
26,delay,AM,8029276,smoke,NA,0
27,delay,AM,8029276,sweet,NA,0
28,delay,AM,8029276,rough,NA,0
29,delay,AM,8029276,needle,NA,0
30,delay,AM,8029276,rubbish,NA,0
31,delay,AM,8029276,anger,NA,0
32,delay,AM,8029276,soft,NA,0
33,delay,AM,8029276,city,NA,0
34,delay,AM,8029276,cup,NA,0
35,delay,AM,8029276,cold,NA,0
36,delay,AM,8029276,mountain,NA,0
37,delay,AM,8029276,slow,NA,0
38,delay,AM,8029276,river,NA,0
39,delay,AM,8029276,spider,NA,0
40,delay,AM,8029276,foot,NA,0
41,delay,AM,8042267,window,NA,0
42,delay,AM,8042267,sleep,NA,0
43,delay,AM,8042267,doctor,NA,0
44,delay,AM,8042267,smell,NA,0
45,delay,AM,8042267,chair,chair,1
46,delay,AM,8042267,smoke,NA,0
47,delay,AM,8042267,sweet,NA,0
48,delay,AM,8042267,rough,NA,0
49,delay,AM,8042267,needle,NA,0
50,delay,AM,8042267,rubbish,NA,0
51,delay,AM,8042267,anger,NA,0
52,delay,AM,8042267,soft,NA,0
53,delay,AM,8042267,city,NA,0
54,delay,AM,8042267,cup,cup,1
55,delay,AM,8042267,cold,NA,0
56,delay,AM,8042267,mountain,NA,0
57,delay,AM,8042267,slow,NA,0
58,delay,AM,8042267,river,NA,0
59,delay,AM,8042267,spider,NA,0
60,delay,AM,8042267,foot,NA,0
61,delay,AM,8060308,window,NA,0
62,delay,AM,8060308,sleep,NA,0
63,delay,AM,8060308,doctor,NA,0
64,delay,AM,8060308,smell,NA,0
65,delay,AM,8060308,chair,chair,1
66,delay,AM,8060308,smoke,NA,0
67,delay,AM,8060308,sweet,sweet,1
68,delay,AM,8060308,rough,NA,0
69,delay,AM,8060308,needle,needle,1
70,delay,AM,8060308,rubbish,NA,0
71,delay,AM,8060308,anger,NA,0
72,delay,AM,8060308,soft,NA,0
73,delay,AM,8060308,city,NA,0
74,delay,AM,8060308,cup,NA,0
75,delay,AM,8060308,cold,cold,1
76,delay,AM,8060308,mountain,NA,0
77,delay,AM,8060308,slow,NA,0
78,delay,AM,8060308,river,NA,0
79,delay,AM,8060308,spider,NA,0
80,delay,AM,8060308,foot,NA,0
81,delay,AM,8077532,window,window,1
82,delay,AM,8077532,sleep,NA,0
83,delay,AM,8077532,doctor,NA,0
84,delay,AM,8077532,smell,NA,0
85,delay,AM,8077532,chair,chair,1
86,delay,AM,8077532,smoke,NA,0
87,delay,AM,8077532,sweet,sweet,1
88,delay,AM,8077532,rough,NA,0
89,delay,AM,8077532,needle,NA,0
90,delay,AM,8077532,rubbish,NA,0
91,delay,AM,8077532,anger,NA,0
92,delay,AM,8077532,soft,NA,0
93,delay,AM,8077532,city,NA,0
94,delay,AM,8077532,cup,NA,0
95,delay,AM,8077532,cold,cold,1
96,delay,AM,8077532,mountain,moutain,1
97,delay,AM,8077532,slow,NA,0
98,delay,AM,8077532,river,NA,0
99,delay,AM,8077532,spider,NA,0
100,delay,AM,8077532,foot,NA,0
101,delay,AM,8137764,window,NA,0
102,delay,AM,8137764,sleep,NA,0
103,delay,AM,8137764,doctor,NA,0
104,delay,AM,8137764,smell,NA,0
105,delay,AM,8137764,chair,chair,1
106,delay,AM,8137764,smoke,smoke,1
107,delay,AM,8137764,sweet,NA,0
108,delay,AM,8137764,rough,NA,0
109,delay,AM,8137764,needle,NA,0
110,delay,AM,8137764,rubbish,NA,0
111,delay,AM,8137764,anger,NA,0
112,delay,AM,8137764,soft,NA,0
113,delay,AM,8137764,city,NA,0
114,delay,AM,8137764,cup,NA,0
115,delay,AM,8137764,cold,NA,0
116,delay,AM,8137764,mountain,NA,0
117,delay,AM,8137764,slow,NA,0
118,delay,AM,8137764,river,NA,0
119,delay,AM,8137764,spider,NA,0
120,delay,AM,8137764,foot,NA,0
121,delay,AM,8169101,window,NA,0
122,delay,AM,8169101,sleep,NA,0
123,delay,AM,8169101,doctor,NA,0
124,delay,AM,8169101,smell,NA,0
125,delay,AM,8169101,chair,NA,0
126,delay,AM,8169101,smoke,NA,0
127,delay,AM,8169101,sweet,NA,0
128,delay,AM,8169101,rough,NA,0
129,delay,AM,8169101,needle,NA,0
130,delay,AM,8169101,rubbish,NA,0
131,delay,AM,8169101,anger,NA,0
132,delay,AM,8169101,soft,NA,0
133,delay,AM,8169101,city,NA,0
134,delay,AM,8169101,cup,NA,0
135,delay,AM,8169101,cold,cold,1
136,delay,AM,8169101,mountain,mountain,1
