order,Delay,Test.Time,Participant.Private.ID,studied_word,original_response,studied_recalled
1,delay,AM,7655544,door,NA,0
2,delay,AM,7655544,bed,NA,0
3,delay,AM,7655544,nurse,NA,0
4,delay,AM,7655544,nose,nose,1
5,delay,AM,7655544,table,NA,0
6,delay,AM,7655544,cigarette,cigarette,1
7,delay,AM,7655544,sour,NA,0
8,delay,AM,7655544,smooth,NA,0
9,delay,AM,7655544,thread,NA,0
10,delay,AM,7655544,garbage,NA,0
11,delay,AM,7655544,mad,NA,0
12,delay,AM,7655544,hard,NA,0
13,delay,AM,7655544,town,NA,0
14,delay,AM,7655544,mug,NA,0
15,delay,AM,7655544,hot,NA,0
16,delay,AM,7655544,hill,NA,0
17,delay,AM,7655544,fast,NA,0
18,delay,AM,7655544,water,NA,0
19,delay,AM,7655544,web,web,1
20,delay,AM,7655544,shoe,shoe,1
21,delay,AM,7655544,glass,NA,0
22,delay,AM,7655544,rest,NA,0
23,delay,AM,7655544,sick,NA,0
24,delay,AM,7655544,breathe,NA,0
25,delay,AM,7655544,sit,NA,0
26,delay,AM,7655544,puff,puff,1
27,delay,AM,7655544,candy,NA,0
28,delay,AM,7655544,bumpy,NA,0
29,delay,AM,7655544,pin,NA,0
30,delay,AM,7655544,waste,NA,0
31,delay,AM,7655544,fear,NA,0
32,delay,AM,7655544,light,NA,0
33,delay,AM,7655544,crowded,NA,0
34,delay,AM,7655544,saucer,NA,0
35,delay,AM,7655544,snow,NA,0
36,delay,AM,7655544,valley,NA,0
37,delay,AM,7655544,lethargic,NA,0
38,delay,AM,7655544,stream,NA,0
39,delay,AM,7655544,insect,NA,0
40,delay,AM,7655544,hand,hand,1
41,delay,AM,7655544,pane,NA,0
42,delay,AM,7655544,awake,NA,0
43,delay,AM,7655544,lawyer,NA,0
44,delay,AM,7655544,sniff,sniff,1
45,delay,AM,7655544,legs,NA,0
46,delay,AM,7655544,blaze,blaze,1
47,delay,AM,7655544,sugar,NA,0
48,delay,AM,7655544,road,NA,0
49,delay,AM,7655544,eye,NA,0
50,delay,AM,7655544,can,NA,0
51,delay,AM,7655544,hate,NA,0
52,delay,AM,7655544,pillow,pillow,1
53,delay,AM,7655544,state,NA,0
54,delay,AM,7655544,tea,NA,0
55,delay,AM,7655544,warm,NA,0
56,delay,AM,7655544,climb,NA,0
57,delay,AM,7655544,stop,NA,0
58,delay,AM,7655544,lake,NA,0
59,delay,AM,7655544,bug,bug,1
60,delay,AM,7655544,toe,toe,1
61,delay,AM,7655544,shade,NA,0
62,delay,AM,7655544,tired,NA,0
63,delay,AM,7655544,medicine,NA,0
64,delay,AM,7655544,aroma,aroma,1
65,delay,AM,7655544,seat,NA,0
66,delay,AM,7655544,billows,NA,0
67,delay,AM,7655544,bitter,NA,0
68,delay,AM,7655544,tough,NA,0
69,delay,AM,7655544,sewing,NA,0
70,delay,AM,7655544,refuse,NA,0
71,delay,AM,7655544,rage,NA,0
72,delay,AM,7655544,plush,NA,0
73,delay,AM,7655544,capital,NA,0
74,delay,AM,7655544,measuring,NA,0
75,delay,AM,7655544,winter,NA,0
76,delay,AM,7655544,summit,NA,0
77,delay,AM,7655544,listless,NA,0
78,delay,AM,7655544,thames,NA,0
79,delay,AM,7655544,fright,fright,1
80,delay,AM,7655544,kick,kick,1
81,delay,AM,7655544,ledge,NA,0
82,delay,AM,7655544,dream,NA,0
83,delay,AM,7655544,health,NA,0
84,delay,AM,7655544,hear,NA,0
85,delay,AM,7655544,couch,NA,0
86,delay,AM,7655544,pollution,pollution,1
87,delay,AM,7655544,good,NA,0
88,delay,AM,7655544,sandpaper,NA,0
89,delay,AM,7655544,sharp,NA,0
90,delay,AM,7655544,sewage,NA,0
91,delay,AM,7655544,temper,NA,0
92,delay,AM,7655544,loud,loud,1
93,delay,AM,7655544,streets,NA,0
94,delay,AM,7655544,coaster,NA,0
95,delay,AM,7655544,ice,NA,0
96,delay,AM,7655544,top,NA,0
97,delay,AM,7655544,snail,NA,0
98,delay,AM,7655544,boat,NA,0
99,delay,AM,7655544,fly,NA,0
100,delay,AM,7655544,sandals,sandals,1
101,delay,AM,7655544,sill,NA,0
102,delay,AM,7655544,wake,wake,1
103,delay,AM,7655544,hospital,NA,0
104,delay,AM,7655544,see,NA,0
105,delay,AM,7655544,desk,NA,0
106,delay,AM,7655544,ashes,NA,0
107,delay,AM,7655544,taste,NA,0
108,delay,AM,7655544,jagged,NA,0
109,delay,AM,7655544,point,NA,0
110,delay,AM,7655544,bag,NA,0
111,delay,AM,7655544,fury,NA,0
112,delay,AM,7655544,cotton,NA,0
113,delay,AM,7655544,subway,NA,0
114,delay,AM,7655544,lid,NA,0
115,delay,AM,7655544,wet,NA,0
116,delay,AM,7655544,molehill,NA,0
117,delay,AM,7655544,cautious,NA,0
118,delay,AM,7655544,tide,NA,0
119,delay,AM,7655544,arachnid,arachnid,1
120,delay,AM,7655544,soccer,NA,0
121,delay,AM,7655544,house,NA,0
122,delay,AM,7655544,snooze,snooze,1
123,delay,AM,7655544,dentist,NA,0
124,delay,AM,7655544,nostril,NA,0
125,delay,AM,7655544,recliner,NA,0
126,delay,AM,7655544,cigar,NA,0
127,delay,AM,7655544,tooth,NA,0
128,delay,AM,7655544,ready,NA,0
129,delay,AM,7655544,prick,NA,0
130,delay,AM,7655544,junk,NA,0
131,delay,AM,7655544,ire,NA,0
132,delay,AM,7655544,fur,NA,0
133,delay,AM,7655544,country,NA,0
134,delay,AM,7655544,handle,NA,0
135,delay,AM,7655544,frigid,NA,0
136,delay,AM,7655544,peak,NA,0
137,delay,AM,7655544,delay,NA,0
138,delay,AM,7655544,swim,NA,0
139,delay,AM,7655544,crawl,crawl,1
140,delay,AM,7655544,yard,NA,0
141,delay,AM,7655544,open,NA,0
142,delay,AM,7655544,blanket,NA,0
143,delay,AM,7655544,physician,NA,0
144,delay,AM,7655544,whiff,NA,0
145,delay,AM,7655544,sofa,NA,0
146,delay,AM,7655544,chimney,NA,0
147,delay,AM,7655544,nice,NA,0
148,delay,AM,7655544,coarse,NA,0
149,delay,AM,7655544,thimble,NA,0
150,delay,AM,7655544,trash,NA,0
151,delay,AM,7655544,wrath,NA,0
152,delay,AM,7655544,touch,NA,0
153,delay,AM,7655544,newyork,NA,0
154,delay,AM,7655544,coffee,NA,0
155,delay,AM,7655544,chilly,NA,0
156,delay,AM,7655544,plain,NA,0
157,delay,AM,7655544,traffic,NA,0
158,delay,AM,7655544,flow,NA,0
159,delay,AM,7655544,tarantula,tarantula,1
160,delay,AM,7655544,walk,NA,0
161,delay,AM,8029276,door,NA,0
162,delay,AM,8029276,bed,bed,1
163,delay,AM,8029276,nurse,NA,0
164,delay,AM,8029276,nose,NA,0
165,delay,AM,8029276,table,table,1
166,delay,AM,8029276,cigarette,NA,0
167,delay,AM,8029276,sour,NA,0
168,delay,AM,8029276,smooth,NA,0
169,delay,AM,8029276,thread,NA,0
170,delay,AM,8029276,garbage,NA,0
171,delay,AM,8029276,mad,NA,0
172,delay,AM,8029276,hard,NA,0
173,delay,AM,8029276,town,NA,0
174,delay,AM,8029276,mug,NA,0
175,delay,AM,8029276,hot,NA,0
176,delay,AM,8029276,hill,NA,0
177,delay,AM,8029276,fast,NA,0
178,delay,AM,8029276,water,NA,0
179,delay,AM,8029276,web,NA,0
180,delay,AM,8029276,shoe,NA,0
181,delay,AM,8029276,glass,glass,1
182,delay,AM,8029276,rest,rest,1
183,delay,AM,8029276,sick,NA,0
184,delay,AM,8029276,breathe,NA,0
185,delay,AM,8029276,sit,NA,0
186,delay,AM,8029276,puff,NA,0
187,delay,AM,8029276,candy,NA,0
188,delay,AM,8029276,bumpy,NA,0
189,delay,AM,8029276,pin,NA,0
190,delay,AM,8029276,waste,NA,0
191,delay,AM,8029276,fear,NA,0
192,delay,AM,8029276,light,light,1
193,delay,AM,8029276,crowded,NA,0
194,delay,AM,8029276,saucer,NA,0
195,delay,AM,8029276,snow,NA,0
196,delay,AM,8029276,valley,NA,0
197,delay,AM,8029276,lethargic,NA,0
198,delay,AM,8029276,stream,NA,0
199,delay,AM,8029276,insect,NA,0
200,delay,AM,8029276,hand,NA,0
201,delay,AM,8029276,pane,NA,0
202,delay,AM,8029276,awake,NA,0
203,delay,AM,8029276,lawyer,NA,0
