Experiment ID,Participant Private ID,Task Name,Trial Number,unpresented_lure,word
delay_PM,7649898,Encoding task,1,river,water
delay_PM,7649898,Encoding task,2,river,stream
delay_PM,7649898,Encoding task,3,river,lake
delay_PM,7649898,Encoding task,4,river,Thames
delay_PM,7649898,Encoding task,5,river,boat
delay_PM,7649898,Encoding task,6,river,tide
delay_PM,7649898,Encoding task,7,river,swim
delay_PM,7649898,Encoding task,8,river,flow
delay_PM,7649898,Encoding task,9,rubbish,garbage
delay_PM,7649898,Encoding task,10,rubbish,waste
delay_PM,7649898,Encoding task,11,rubbish,can
delay_PM,7649898,Encoding task,12,rubbish,refuse
delay_PM,7649898,Encoding task,13,rubbish,sewage
delay_PM,7649898,Encoding task,14,rubbish,bag
delay_PM,7649898,Encoding task,15,rubbish,junk
delay_PM,7649898,Encoding task,16,rubbish,trash
delay_PM,7649898,Encoding task,17,soft,hard
delay_PM,7649898,Encoding task,18,soft,light
delay_PM,7649898,Encoding task,19,soft,pillow
delay_PM,7649898,Encoding task,20,soft,plush
delay_PM,7649898,Encoding task,21,soft,loud
delay_PM,7649898,Encoding task,22,soft,cotton
delay_PM,7649898,Encoding task,23,soft,fur
delay_PM,7649898,Encoding task,24,soft,touch
delay_PM,7649898,Encoding task,25,window,door
delay_PM,7649898,Encoding task,26,window,glass
delay_PM,7649898,Encoding task,27,window,pane
delay_PM,7649898,Encoding task,28,window,shade
delay_PM,7649898,Encoding task,29,window,ledge
delay_PM,7649898,Encoding task,30,window,sill
delay_PM,7649898,Encoding task,31,window,house
delay_PM,7649898,Encoding task,32,window,open
delay_PM,7649898,Encoding task,33,mug,mug
delay_PM,7649898,Encoding task,34,mug,saucer
delay_PM,7649898,Encoding task,35,mug,tea
delay_PM,7649898,Encoding task,36,mug,measuring
delay_PM,7649898,Encoding task,37,mug,coaster
delay_PM,7649898,Encoding task,38,mug,lid
delay_PM,7649898,Encoding task,39,mug,handle
delay_PM,7649898,Encoding task,40,mug,coffee
delay_PM,7649898,Encoding task,41,needle,thread
delay_PM,7649898,Encoding task,42,needle,pin
delay_PM,7649898,Encoding task,43,needle,eye
delay_PM,7649898,Encoding task,44,needle,sewing
delay_PM,7649898,Encoding task,45,needle,sharp
delay_PM,7649898,Encoding task,46,needle,point
delay_PM,7649898,Encoding task,47,needle,prick
delay_PM,7649898,Encoding task,48,needle,thimble
delay_PM,7649898,Encoding task,49,sweet,sour
delay_PM,7649898,Encoding task,50,sweet,candy
delay_PM,7649898,Encoding task,51,sweet,sugar
delay_PM,7649898,Encoding task,52,sweet,bitter
delay_PM,7649898,Encoding task,53,sweet,good
delay_PM,7649898,Encoding task,54,sweet,taste
delay_PM,7649898,Encoding task,55,sweet,tooth
delay_PM,7649898,Encoding task,56,sweet,nice
delay_PM,7649898,Encoding task,57,mountain,hill
delay_PM,7649898,Encoding task,58,mountain,valley
delay_PM,7649898,Encoding task,59,mountain,climb
delay_PM,7649898,Encoding task,60,mountain,summit
delay_PM,7649898,Encoding task,61,mountain,top
