Participant.Private.ID,Question.Key,Response,Delay,Test.Time
7604164,Final_MEQ_Score,16,control,AM
7604165,Final_MEQ_Score,18,control,AM
7604298,Final_MEQ_Score,15,control,AM
7604321,Final_MEQ_Score,15,control,AM
7604489,Final_MEQ_Score,17,control,AM
7604496,Final_MEQ_Score,12,control,AM
7604538,Final_MEQ_Score,16,control,AM
7604570,Final_MEQ_Score,15,control,AM
7611190,Final_MEQ_Score,16,control,PM
7611219,Final_MEQ_Score,17,control,PM
7611225,Final_MEQ_Score,13,control,PM
7611227,Final_MEQ_Score,18,control,PM
7611235,Final_MEQ_Score,18,control,PM
7611260,Final_MEQ_Score,17,control,PM
7611399,Final_MEQ_Score,15,control,PM
7611506,Final_MEQ_Score,13,control,PM
7611574,Final_MEQ_Score,19,control,PM
7611579,Final_MEQ_Score,18,control,PM
7611627,Final_MEQ_Score,15,control,PM
7611631,Final_MEQ_Score,13,control,PM
7613230,Final_MEQ_Score,17,control,AM
7613259,Final_MEQ_Score,20,control,AM
7613274,Final_MEQ_Score,14,control,AM
7613310,Final_MEQ_Score,16,control,AM
7613325,Final_MEQ_Score,19,control,AM
7613382,Final_MEQ_Score,17,control,AM
7618552,Final_MEQ_Score,16,control,PM
7618559,Final_MEQ_Score,14,control,PM
7618657,Final_MEQ_Score,16,control,PM
7618741,Final_MEQ_Score,16,control,PM
7618818,Final_MEQ_Score,13,control,PM
7620694,Final_MEQ_Score,15,control,AM
7620699,Final_MEQ_Score,15,control,AM
7621261,Final_MEQ_Score,14,control,AM
7627419,Final_MEQ_Score,17,control,PM
7627542,Final_MEQ_Score,17,control,PM
7629083,Final_MEQ_Score,15,control,AM
7629122,Final_MEQ_Score,12,control,AM
7629148,Final_MEQ_Score,15,control,AM
7636753,Final_MEQ_Score,15,control,AM
7636827,Final_MEQ_Score,16,control,AM
7636898,Final_MEQ_Score,16,control,AM
7636967,Final_MEQ_Score,14,control,AM
7643108,Final_MEQ_Score,16,control,AM
7643127,Final_MEQ_Score,15,control,AM
7648821,Final_MEQ_Score,16,control,PM
7648957,Final_MEQ_Score,16,control,PM
7649898,Final_MEQ_Score,16,delay,PM
7649902,Final_MEQ_Score,16,delay,PM
7650194,Final_MEQ_Score,15,delay,PM
7650280,Final_MEQ_Score,17,delay,PM
7655499,Final_MEQ_Score,13,delay,AM
7655503,Final_MEQ_Score,13,delay,AM
7655544,Final_MEQ_Score,11,delay,AM
7655741,Final_MEQ_Score,15,delay,AM
7655767,Final_MEQ_Score,15,delay,AM
7655778,Final_MEQ_Score,19,delay,AM
7655966,Final_MEQ_Score,16,delay,AM
7656005,Final_MEQ_Score,13,delay,AM
7656073,Final_MEQ_Score,17,delay,AM
7656128,Final_MEQ_Score,17,delay,AM
7657171,Final_MEQ_Score,14,delay,PM
7657307,Final_MEQ_Score,14,delay,PM
7657363,Final_MEQ_Score,14,delay,PM
7657471,Final_MEQ_Score,15,delay,PM
7657496,Final_MEQ_Score,16,delay,PM
7657514,Final_MEQ_Score,15,delay,PM
7663710,Final_MEQ_Score,17,delay,AM
7665160,Final_MEQ_Score,13,delay,PM
7669808,Final_MEQ_Score,14,delay,AM
7671349,Final_MEQ_Score,14,delay,PM
7674684,Final_MEQ_Score,13,delay,AM
7676682,Final_MEQ_Score,13,delay,PM
7680305,Final_MEQ_Score,12,delay,PM
7680339,Final_MEQ_Score,17,delay,PM
7727055,Final_MEQ_Score,16,control,AM
7727056,Final_MEQ_Score,15,control,AM
7727146,Final_MEQ_Score,14,control,AM
